state,title,name,political_party,start,end
Veragua,Gobernador,Diego de Nicuesa,NA,1508,1511
Veragua,Gobernador,Vasco Núñez de Balboa,NA,1511,1514
Veragua,Licencia real para explorar y descubrir,Gil González Dávila,NA,1522,1524
Castilla de Oro,Gobernador,Francisco Hernández de Córdoba,NA,1524,1526
Provincia de Nicaragua,Gobernador,Pedro de los Ríos y Gutiérrez de Aguayo,NA,1526,1527
Provincia de Nicaragua,Gobernador,Diego López de Salcedo y Rodríguez,NA,1527,1528
Provincia de Nicaragua,Gobernador,Pedro Arias Dávila,NA,1528,1531
Provincia de Nicaragua,Gobernador,Francisco de Castañeda,NA,1531,1535
Provincia de Nicaragua,Gobernador,Felipe Gutiérrez y Toledo,NA,1534,1536
Provincia de Nicaragua,Gobernador,Diego Álvarez de Osorio,NA,1535,1535
Provincia de Nicaragua,Gobernador,Rodrigo de Contreras y La Hoz,NA,1535,1544
Audiencia de los Confines de Guatemala y Nicaragua,Selegado,Diego de Herrera,NA,1544,1544
Audiencia de los Confines de Guatemala y Nicaragua,Presidente,Alonso de Maldonado Diez de Ledesma,NA,1544,1547
Audiencia de los Confines de Guatemala y Nicaragua,Presidente,Alonso López de Cerrato,NA,1547,1553
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Nicolás López de Zárraga,NA,1553,1553
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Juan de Cavallón y Arboleda,NA,1553,1555
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Juan Márquez,NA,1555,1555
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Álvaro de Paz,NA,1555,1556
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Nicolás López de Zárraga,NA,1556,1557
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Andrés López Moraga,NA,1558,1558
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Francisco de Mendoza,NA,1558,1559
Real Audiencia de Guatemala,Alcalde Mayor de Nicaragua,Alonso Ortiz de Argueta,NA,1559,1561
